name,date,location,url,description,source,relevance_score
PDAA Vehicle and Fleet Training and Certification Aug 2025,"Aug. 29, 2025 - Aug. 31, 2025 • 8:00 AM - 5:00 PM CST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Aug. 29, 2025 - Aug. 31, 2025 • 8:00 AM - 5:00 PM CST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Jun.
24",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Jun.
24",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
"G7+ Expert Certification June 24-26 in Minneapolis, MN","Jun. 24, 2025 - Jun. 26, 2025 • 9:00 AM - 4:00 PM CST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Jun. 24, 2025 - Jun. 26, 2025 • 9:00 AM - 4:00 PM CST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"June 1, 2026",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Mar.
24",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Mar.
24",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Mar.
29",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Mar.
29",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
G7+ Expert Certification March 24-28 Live Online,"Mar. 24, 2025 - Mar. 28, 2025 • 1:00 PM - 5:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Mar. 24, 2025 - Mar. 28, 2025 • 1:00 PM - 5:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
"PDAA Windows, Walls, and Floors March MD","Mar. 29, 2025 - Mar. 30, 2025 • 8:00 AM - 5:00 PM EST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Mar. 29, 2025 - Mar. 30, 2025 • 8:00 AM - 5:00 PM EST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
FESPA Global Print Expo 2025,"May 15, 2026","Munich, Germany",https://www.fespa.com/en/events,"Global print expo for screen, digital and textile printing",FESPA Global Print Expo,0.15555555555555556
FESPA Global Print Expo 2025,"May 15, 2026","Munich, Germany",https://www.fespa.com/en/events,"Global print expo for screen, digital and textile printing",FESPA Global Print Expo,0.15555555555555556
Personalisation Experience 2025,"May 15, 2026","Munich, Germany",https://www.fespa.com/en/events,"Global print expo for screen, digital and textile printing",FESPA Global Print Expo,0.15555555555555556
FESPA Awards 2025,"May 15, 2026","Munich, Germany",https://www.fespa.com/en/events,"Global print expo for screen, digital and textile printing",FESPA Global Print Expo,0.15555555555555556
FESPA Africa 2025,"May 15, 2026","Munich, Germany",https://www.fespa.com/en/events,"Global print expo for screen, digital and textile printing",FESPA Global Print Expo,0.15555555555555556
FESPA Mexico 2025,"May 15, 2026","Munich, Germany",https://www.fespa.com/en/events,"Global print expo for screen, digital and textile printing",FESPA Global Print Expo,0.15555555555555556
Printing Industries of America,"May.
06",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May.
06",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May.
08",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May.
08",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May.
19",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May.
19",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May.
21",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May.
21",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
"G7+ Expert Certification May 6-8 - Bogota, Colombia","May. 06, 2025 - May. 08, 2025 • 9:00 AM - 5:00 PM SPST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May. 06, 2025 - May. 08, 2025 • 9:00 AM - 5:00 PM SPST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
"PDAA Windows, Walls, and Floors Chicago IL May 2025","May. 08, 2025 - May. 09, 2025 • 8:00 AM - 5:00 PM CST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May. 08, 2025 - May. 09, 2025 • 8:00 AM - 5:00 PM CST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
G7+ Expert Certification May 19-23 Live Online,"May. 19, 2025 - May. 23, 2025 • 9:00 AM - 1:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May. 19, 2025 - May. 23, 2025 • 9:00 AM - 1:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Certifications in Print: Game Changer or Just a Piece of Paper?,"May. 21, 2025 • 2:00 PM - 3:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"May. 21, 2025 • 2:00 PM - 3:00 PM EST",Online,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Nov.
15",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Nov.
15",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
"PDAA Windows, Walls, and Floors MD Nov 2025","Nov. 15, 2025 - Nov. 16, 2025 • 8:00 AM - 5:00 PM EST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Nov. 15, 2025 - Nov. 16, 2025 • 8:00 AM - 5:00 PM EST",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Oct.
22",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Oct.
22",United States,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
PRINTING United Expo,"Oct. 22, 2025 - Oct. 24, 2025",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
Printing Industries of America,"Oct. 22, 2025 - Oct. 24, 2025",In-Person,https://www.printing.org/events,Printing Industries of America industry event,Printing Industries of America,0.15555555555555556
FESPA Global Print Expo 2025,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.1
FESPA Global Print Expo 2025,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.1
FESPA Global Print Expo 2025,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.1
What to Expect from OSHA Under the Second Trump Administration,"June 1, 2026",United States,https://www.signs.org/events,International Sign Association industry event,International Sign Association,0.05555555555555555
Utah Sign Association Annual Meeting,"June 1, 2026",United States,https://www.signs.org/events,International Sign Association industry event,International Sign Association,0.05555555555555555
Utah Sign Association Golf Tournament,"June 1, 2026",United States,https://www.signs.org/events,International Sign Association industry event,International Sign Association,0.05555555555555555
Northwest Sign Council Holiday Mixer & Tabletop Event,"June 1, 2026",United States,https://www.signs.org/events,International Sign Association industry event,International Sign Association,0.05555555555555555
What to Expect from OSHA Under the Second Trump Administration,"June 1, 2026",United States,https://www.signs.org/events,International Sign Association industry event,International Sign Association,0.05555555555555555
Utah Sign Association Annual Meeting,"June 1, 2026",United States,https://www.signs.org/events,International Sign Association industry event,International Sign Association,0.05555555555555555
Utah Sign Association Golf Tournament,"June 1, 2026",United States,https://www.signs.org/events,International Sign Association industry event,International Sign Association,0.05555555555555555
Northwest Sign Council Holiday Mixer & Tabletop Event,"June 1, 2026",United States,https://www.signs.org/events,International Sign Association industry event,International Sign Association,0.05555555555555555
FESPA,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.0
FESPA,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.0
Personalisation Experience 2025,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.0
FESPA Awards 2025,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.0
FESPA Africa 2025,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.0
FESPA Mexico 2025,"June 1, 2026",United States,https://www.fespa.com/en/events,FESPA industry event,FESPA,0.0
